Kiffisia;KAT
KAT;Maroussi;Kiffisia
Maroussi;Neratziotissa;KAT
Neratziotissa;Irini;Maroussi
Irini;Iraklio;Neratziotissa
Iraklio;Nea Ionia;Irini
Nea Ionia;Pefkakia;Iraklio
Pefkakia;Perissos;Nea Ionia
Perissos;Ano Patissia;Pefkakia
Ano Patissia;Aghios Eleftherios;Perissos
Aghios Eleftherios;Kato Patissia;Ano Patissia
Kato Patissia;Aghios Nikolaos;Aghios Eleftherios
Aghios Nikolaos;Attiki;Kato Patissia
Attiki;Victoria;Aghios Nikolaos;Sepolia;Larissa Station
Victoria;Omonia;Attiki
Omonia;Monastiraki;Victoria;Metaxourghio;Panepistimio
Monastiraki;Thissio;Omonia;Kerameikos;Syntagma
Thissio;Petralona;Monastiraki
Petralona;Tavros;Thissio
Tavros;Kallithea;Petralona
Kallithea;Moschato;Tavros
Moschato;Faliro;Kallithea
Faliro;Piraeus;Moschato
Piraeus;Faliro
Aghios Antonios;Sepolia
Sepolia;Attiki;Aghios Antonios
Larissa Station;Attiki;Metaxourghio
Metaxourghio;Larissa Station;Omonia
Panepistimio;Omonia;Syntagma;;;;;;;;;;
Syntagma;Panepistimio;Akropoli;Evangelismos;Monastiriaki
Akropoli;Syntagma;Sygrou-Fix
Sygrou-Fix;Akropoli;Neos Kosmos
Neos Kosmos;Sygrou-Fix;Aghios Ioannis
Aghios Ioannis;Neos Kosmos;Dafni
Dafni;Aghios Ioannis;Aghios Dimitrios
Aghios Dimitrios;Dafni
Egaleo;Eleonas
Eleonas;Kerameikos;Egaleo
Kerameikos;Monastiraki;Eleonas
Evangelismos;Syntagma;Megaro Moussikis
Megaro Moussikis;Evangelismos;Ambelokipi
Ambelokipi;Megaro Moussikis;Panormou
Panormou;Ambelokipi;Katehaki
Katehaki;Panormou;Ethniki Amyna
Ethniki Amyna;Katehaki;Holargos
Holargos;Ethniki Amyna;Nomismatokopio
Nomismatokopio;Holargos;Aghia Paraskevi
Aghia Paraskevi;Nomismatokopio;Halandri
Halandri;Aghia Paraskevi;Pallini
Doukissis Plakentias;Halandri;Pallini
Pallini;Doukissis Plakentias;Paiania - Kantza
Paiania - Kantza;Pallini;Koropi
Koropi;Paiania - Kantza;Airport
Airport;Koropi
